climatic_zone,forest_type,bcef,gs_0_20,gs_21_50,gs_51_100,gs_100_INF
Boreal,pines,bcefs,1.2,0.68,0.57,0.5
Boreal,pines,bcefi,0.47,0.46,0.46,0.463
Boreal,pines,bcefr,1.33,0.75,0.63,0.55
Boreal,larch,bcefs,1.22,0.78,0.77,0.77
Boreal,larch,bcefi,0.9,0.75,0.77,0.77
Boreal,larch,bcefr,1.35,0.87,0.85,0.85
Boreal,firs and spruces,bcefs,1.16,0.66,0.58,0.53
Boreal,firs and spruces,bcefi,0.55,0.47,0.47,0.464
Boreal,firs and spruces,bcefr,1.29,0.73,0.64,0.59
Boreal,hardwoods,bcefs,0.9,0.7,0.62,0.55
Boreal,hardwoods,bcefi,0.65,0.54,0.52,0.505
Boreal,hardwoods,bcefr,1,0.77,0.69,0.61
